step,train_loss,val_loss,train_ppl,val_ppl,learning_rate,elapsed_time_sec
0,6.2645,6.2595,525.60,522.95,0.000003,12.33
500,3.9649,3.9140,52.72,50.10,0.000299,305.34
1000,3.6723,3.5954,39.34,36.43,0.000296,682.50
1500,3.4531,3.3615,31.60,28.83,0.000291,1118.52
2000,3.2714,3.1464,26.35,23.25,0.000283,5490.72
2500,3.1330,3.0027,22.94,20.14,0.000274,6003.79
3000,3.0287,2.8958,20.67,18.10,0.000262,6516.08
3500,2.9439,2.8087,18.99,16.59,0.000249,6982.12
4000,2.9169,2.7339,18.48,15.39,0.000235,7441.54
4500,2.8493,2.6887,17.28,14.71,0.000219,7938.57
5000,2.8028,2.6327,16.49,13.91,0.000202,8380.23
5500,2.7790,2.6141,16.10,13.65,0.000185,12321.45
6000,2.7458,2.5928,15.58,13.37,0.000167,13063.84
6500,2.7286,2.5703,15.31,13.07,0.000149,13521.14
7000,2.7059,2.5475,14.97,12.78,0.000131,13965.33
7500,2.6811,2.5361,14.60,12.63,0.000115,14419.92
8000,2.6838,2.5032,14.64,12.22,0.000099,14894.65
8500,2.6625,2.5094,14.33,12.30,0.000084,15372.53
9000,2.6444,2.5098,14.07,12.30,0.000070,15785.36
9500,2.6466,2.4926,14.11,12.09,0.000058,16099.23
10000,2.6477,2.4841,14.12,11.99,0.000048,16548.71
10500,2.6199,2.4826,13.73,11.97,0.000040,17010.90
11000,2.6191,2.4748,13.72,11.88,0.000035,17480.61
11500,2.6196,2.4701,13.73,11.82,0.000031,17962.29
11999,2.6221,2.4656,13.77,11.77,0.000030,18475.30
