step,train_loss,val_loss,train_ppl,val_ppl,learning_rate,elapsed_time_sec
0,4.0413,4.0692,56.90,58.51,0.000001,6.74
100,1.8396,2.1152,6.29,8.29,0.000030,72.14
200,1.3492,1.7404,3.85,5.70,0.000028,138.82
300,1.1234,1.4852,3.08,4.42,0.000026,202.81
400,0.9415,1.2861,2.56,3.62,0.000022,266.21
500,0.8290,1.1613,2.29,3.19,0.000018,327.31
600,0.7387,1.0647,2.09,2.90,0.000013,408.08
700,0.6822,0.9836,1.98,2.67,0.000009,473.17
800,0.6408,0.9627,1.90,2.62,0.000006,534.57
900,0.6120,0.9474,1.84,2.58,0.000004,599.67
999,0.6246,0.9300,1.87,2.53,0.000003,668.98
