step,train_loss,val_loss,train_ppl,val_ppl,learning_rate,elapsed_time_sec
0,6.2737,6.2797,530.46,533.65,0.000003,64.83
500,3.6964,3.5897,40.30,36.22,0.000299,1135.91
1000,3.2210,3.1334,25.05,22.95,0.000296,2221.53
1500,2.9081,2.8132,18.32,16.66,0.000291,3191.08
2000,2.7412,2.5921,15.51,13.36,0.000283,4011.34
2500,2.6500,2.4959,14.15,12.13,0.000274,5211.83
3000,2.5709,2.4680,13.08,11.80,0.000262,6072.70
3500,2.5225,2.4338,12.46,11.40,0.000249,6895.25
4000,2.4841,2.3866,11.99,10.88,0.000235,7681.69
4500,2.4204,2.3565,11.25,10.55,0.000219,8525.85
5000,2.4133,2.3358,11.17,10.34,0.000202,9332.90
5500,2.3769,2.3167,10.77,10.14,0.000185,10191.96
6000,2.3610,2.3059,10.60,10.03,0.000167,11151.22
6500,2.3339,2.2840,10.32,9.82,0.000149,12039.84
7000,2.3121,2.2746,10.10,9.72,0.000131,12883.68
7500,2.3067,2.2581,10.04,9.57,0.000115,13661.28
8000,2.2811,2.2363,9.79,9.36,0.000099,14426.72
8500,2.2716,2.2389,9.69,9.38,0.000084,15184.12
9000,2.2514,2.2394,9.50,9.39,0.000070,18420.59
9500,2.2514,2.2226,9.50,9.23,0.000058,19498.46
10000,2.2448,2.2191,9.44,9.20,0.000048,20582.72
10500,2.2317,2.2139,9.32,9.15,0.000040,21750.96
11000,2.2247,2.2031,9.25,9.05,0.000035,22622.29
11500,2.2334,2.2055,9.33,9.08,0.000031,23264.56
11999,2.2280,2.2114,9.28,9.13,0.000030,24684.15
